Linux 3.16.0-4-amd64 (debian-1) 	07/19/2017 	_x86_64_	(1 CPU)

10:41:56 PM   UID       PID    %usr %system  %guest    %CPU   CPU  Command
10:45:07 PM  1001     10050    3.06    4.08    0.00    7.14     0  wget
10:45:08 PM  1001     10050    2.17    4.35    0.00    6.52     0  wget
10:45:09 PM  1001     10050    1.08    2.15    0.00    3.23     0  wget
10:45:10 PM  1001     10050    1.05    3.16    0.00    4.21     0  wget
10:45:11 PM  1001     10050    2.13    4.26    0.00    6.38     0  wget
10:45:12 PM  1001     10050    4.30    3.23    0.00    7.53     0  wget
10:45:13 PM  1001     10050    2.15    4.30    0.00    6.45     0  wget
10:45:14 PM  1001     10050    3.23    5.38    0.00    8.60     0  wget
10:45:15 PM  1001     10050    1.06    5.32    0.00    6.38     0  wget
10:45:16 PM  1001     10050    2.08    6.25    0.00    8.33     0  wget
10:45:17 PM  1001     10050    3.19    3.19    0.00    6.38     0  wget
10:45:18 PM  1001     10050    2.15    6.45    0.00    8.60     0  wget
10:45:19 PM  1001     10050    3.19    4.26    0.00    7.45     0  wget
10:45:20 PM  1001     10050    2.15    5.38    0.00    7.53     0  wget
10:45:21 PM  1001     10050    2.11    4.21    0.00    6.32     0  wget
10:45:22 PM  1001     10050    4.26    2.13    0.00    6.38     0  wget
10:45:23 PM  1001     10050    2.11    3.16    0.00    5.26     0  wget
10:45:24 PM  1001     10050    2.15    4.30    0.00    6.45     0  wget
10:45:25 PM  1001     10050    3.00    3.00    0.00    6.00     0  wget
10:45:26 PM  1001     10050    3.19    4.26    0.00    7.45     0  wget
10:45:27 PM  1001     10050    3.12    1.04    0.00    4.17     0  wget
10:45:28 PM  1001     10050    1.08    4.30    0.00    5.38     0  wget
10:45:29 PM  1001     10050    2.04    2.04    0.00    4.08     0  wget
10:45:30 PM  1001     10050    1.05    5.26    0.00    6.32     0  wget
10:45:31 PM  1001     10050    1.09    4.35    0.00    5.43     0  wget
10:45:32 PM  1001     10050    2.13    3.19    0.00    5.32     0  wget
10:45:33 PM  1001     10050    3.12    1.04    0.00    4.17     0  wget
10:45:34 PM  1001     10050    1.02    1.02    0.00    2.04     0  wget
10:45:35 PM  1001     10050    2.11    3.16    0.00    5.26     0  wget
10:45:36 PM  1001     10050    1.04    2.08    0.00    3.12     0  wget
10:45:37 PM  1001     10050    2.13    2.13    0.00    4.26     0  wget
10:45:38 PM  1001     10050    1.03    3.09    0.00    4.12     0  wget
10:45:39 PM  1001     10050    3.12    2.08    0.00    5.21     0  wget
10:45:40 PM  1001     10050    1.05    3.16    0.00    4.21     0  wget
10:45:41 PM  1001     10050    3.19    1.06    0.00    4.26     0  wget
10:45:42 PM  1001     10050    2.11    2.11    0.00    4.21     0  wget
10:45:43 PM  1001     10050    1.04    3.12    0.00    4.17     0  wget
10:45:44 PM  1001     10050    3.12    1.04    0.00    4.17     0  wget
10:45:45 PM  1001     10050    2.04    3.06    0.00    5.10     0  wget
10:45:46 PM  1001     10050    3.16    3.16    0.00    6.32     0  wget
10:45:47 PM  1001     10050    4.30    3.23    0.00    7.53     0  wget
10:45:48 PM  1001     10050    2.13    4.26    0.00    6.38     0  wget
10:45:49 PM  1001     10050    4.26    2.13    0.00    6.38     0  wget
