
05:51:49 PM       PID  minflt/s  majflt/s     VSZ    RSS   %MEM  Command
05:55:15 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:55:16 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:55:17 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:55:18 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:55:19 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:55:20 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:55:21 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:55:22 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:55:23 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:55:24 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:55:25 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:55:26 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:55:27 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:55:28 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:55:29 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:55:30 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:55:31 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:55:32 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:55:33 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:55:34 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:55:35 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:55:36 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:55:37 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:55:38 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:55:39 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:55:40 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:55:41 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:55:42 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:55:43 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:55:44 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:55:45 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:55:46 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:55:47 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:55:48 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:55:49 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:55:50 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:55:51 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:55:52 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:55:53 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:55:54 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:55:55 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:55:56 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:55:57 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:55:58 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:55:59 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:56:00 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:56:01 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:56:02 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:56:03 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:56:04 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:56:05 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:56:06 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:56:07 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:56:08 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:56:09 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:56:10 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:56:11 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:56:12 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:56:13 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:56:14 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:56:15 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:56:16 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:56:17 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:56:18 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:56:19 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:56:20 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:56:21 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:56:22 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:56:23 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:56:24 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:56:25 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:56:26 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:56:27 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:56:28 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:56:29 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:56:30 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:56:31 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:56:32 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:56:33 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:56:34 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:56:35 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:56:36 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:56:37 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:56:38 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:56:39 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:56:40 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:56:41 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:56:42 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:56:43 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:56:44 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:56:45 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:56:46 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:56:47 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:56:48 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:56:49 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:56:50 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:56:51 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:56:52 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:56:53 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:56:54 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:56:55 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:56:56 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:56:57 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:56:58 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:56:59 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:57:00 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:57:01 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:57:02 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:57:03 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:57:04 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:57:05 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:57:06 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:57:07 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:57:08 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:57:09 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:57:10 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:57:11 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:57:12 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:57:13 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:57:14 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:57:15 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:57:16 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:57:17 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:57:18 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:57:19 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:57:20 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:57:21 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:57:22 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:57:23 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:57:24 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:57:25 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:57:26 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:57:27 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:57:28 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:57:29 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:57:30 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:57:31 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:57:32 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:57:33 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:57:34 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:57:35 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:57:36 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:57:37 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:57:38 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:57:39 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:57:40 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:57:41 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:57:42 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:57:43 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:57:44 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:57:45 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:57:46 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:57:47 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:57:48 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:57:49 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:57:50 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:57:51 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:57:52 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:57:53 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:57:54 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:57:55 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:57:56 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:57:57 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:57:58 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:57:59 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:58:00 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:58:01 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:58:02 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:58:03 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:58:04 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:58:05 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:58:06 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:58:07 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:58:08 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:58:09 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:58:10 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:58:11 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:58:12 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:58:13 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:58:14 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:58:15 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:58:16 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:58:17 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:58:18 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:58:19 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:58:20 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:58:21 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:58:22 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:58:23 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:58:24 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:58:25 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:58:26 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:58:27 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:58:28 PM      4773      0.00      0.00  141852   4104   0.20  wget
